q(A-1)	I(q)20230413_0_00017.edf{0}_circles_22_division_ExposureTime	Sig(q)20230413_0_00017.edf{0}_circles_22	2Theta(degrees)
0.12462	0.00015	0.03645	1.75228
0.12490	0.00018	0.04010	1.75623
0.12518	0.00016	0.03749	1.76018
0.12546	0.00018	0.04008	1.76414
0.12575	0.00016	0.03734	1.76809
0.12603	0.00017	0.03924	1.77204
0.12631	0.00022	0.04431	1.77600
0.12659	0.00019	0.04149	1.77995
0.12687	0.00015	0.03685	1.78390
0.12715	0.00018	0.04020	1.78786
0.12743	0.00018	0.04066	1.79181
0.12771	0.00016	0.03819	1.79576
0.12799	0.00015	0.03667	1.79971
0.12828	0.00015	0.03655	1.80367
0.12856	0.00017	0.03940	1.80762
0.12884	0.00014	0.03523	1.81157
0.12912	0.00015	0.03665	1.81552
0.12940	0.00014	0.03499	1.81948
0.12968	0.00016	0.03808	1.82343
0.12996	0.00020	0.04207	1.82738
0.13024	0.00017	0.03900	1.83134
0.13052	0.00016	0.03776	1.83529
0.13080	0.00017	0.03890	1.83924
0.13109	0.00014	0.03553	1.84319
0.13137	0.00015	0.03714	1.84715
0.13165	0.00017	0.03914	1.85110
0.13193	0.00016	0.03834	1.85505
0.13221	0.00015	0.03671	1.85900
0.13249	0.00017	0.03905	1.86296
0.13277	0.00018	0.04008	1.86691
0.13305	0.00014	0.03578	1.87086
0.13333	0.00012	0.03292	1.87481
0.13362	0.00016	0.03813	1.87877
0.13390	0.00019	0.04193	1.88272
0.13418	0.00017	0.03963	1.88667
0.13446	0.00016	0.03971	1.89062
0.13474	0.00016	0.04335	1.89458
0.13502	0.00016	0.04428	1.89853
0.13530	0.00016	0.04671	1.90248
0.13558	0.00021	0.05450	1.90643
0.13586	0.00018	0.05207	1.91039
0.13615	0.00018	0.05445	1.91434
0.13643	0.00017	0.05330	1.91829
0.13671	0.00015	0.05272	1.92224
0.13699	0.00014	0.05097	1.92619
0.13727	0.00016	0.05733	1.93015
0.13755	0.00015	0.05557	1.93410
0.13783	0.00016	0.06031	1.93805
0.13811	0.00012	0.05327	1.94200
0.13839	0.00017	0.06584	1.94596
0.13867	0.00023	0.07945	1.94991
0.13896	0.00020	0.07609	1.95386
0.13924	0.00013	0.06373	1.95781
0.13952	0.00015	0.07097	1.96176
0.13980	0.00022	0.08862	1.96572
0.14008	0.00016	0.07941	1.96967
0.14036	0.00024	0.10069	1.97362
0.14064	0.00018	0.09062	1.97757
0.14092	0.00023	0.10653	1.98152
0.14120	0.00014	0.08867	1.98548
0.14148	0.00012	0.08462	1.98943
0.14177	0.00009	0.07866	1.99338
0.14205	0.00011	0.09487	1.99733
0.14233	0.00017	0.12588	2.00128
0.14261	0.00024	0.16418	2.00524
0.14289	0.00011	0.12595	2.00919
0.14317	0.00019	0.19000	2.01314
0.14345	0.00010	0.16170	2.01709
0.14373	0.00021	0.32292	2.02104
0.14401	0.00041	1.00985	2.02500
